ID,HEK_Outcome
V100,0
V101,0
V104,0
V105,0
V106,0
V107,0
V109,0
V110,0
V115,0
V116,0
V118,0
V119,0
V129,0
V130,0
V131,0
V133,0
V134,0
V136,0
V137,0
V151,0
V152,0
V153,0
V154,0
V155,0
V164,0
V165,0
V168,0
V172,0
V186,0
V187,0
V188,0
V189,0
V190,0
V191,0
V195,0
V196,0
V197,0
V198,0
V199,0
V200,0
V204,0
V205,0
V206,0
V210,0
V211,0
V212,0
V213,0
V214,0
V215,0
V216,0
V218,0
V219,0
V224,0
V227,0
V229,0
V234,0
V235,0
V237,0
V238,0
V242,0
V245,0
V252,0
V253,0
V263,0
V267,0
V269,0
V27,0
V277,0
V28,0
V280,0
V282,0
V283,0
V29,0
V30,0
V33,0
V34,0
V35,0
V37,0
V39,0
V42,0
V43,0
V44,0
V45,0
V53,0
V55,0
V56,0
V57,0
V58,0
V59,0
V6,0
V60,0
V64,0
V65,0
V7,0
V77,0
V78,0
V79,0
V80,0
V81,0
V82,0
V83,0
V84,0
V90,0
V92,0
V93,0
V10,1
V102,1
V112,1
V114,1
V12,1
V120,1
V121,1
V122,1
V123,1
V125,1
V126,1
V127,1
V128,1
V135,1
V138,1
V139,1
V140,1
V141,1
V142,1
V143,1
V144,1
V15,1
V156,1
V157,1
V159,1
V169,1
V170,1
V176,1
V177,1
V178,1
V179,1
V180,1
V181,1
V182,1
V183,1
V192,1
V193,1
V20,1
V202,1
V203,1
V217,1
V221,1
V226,1
V228,1
V230,1
V231,1
V239,1
V240,1
V241,1
V246,1
V247,1
V248,1
V249,1
V250,1
V251,1
V256,1
V257,1
V259,1
V26,1
V260,1
V261,1
V262,1
V264,1
V265,1
V266,1
V270,1
V272,1
V273,1
V274,1
V275,1
V279,1
V281,1
V31,1
V32,1
V38,1
V4,1
V5,1
V50,1
V51,1
V52,1
V61,1
V62,1
V63,1
V67,1
V68,1
V69,1
V70,1
V71,1
V75,1
V76,1
V85,1
V86,1
V88,1
V89,1
V108,2
V11,2
V113,2
V117,2
V124,2
V132,2
V158,2
V163,2
V167,2
V194,2
V207,2
V208,2
V209,2
V220,2
V222,2
V223,2
V232,2
V236,2
V243,2
V244,2
V25,2
V254,2
V255,2
V271,2
V284,2
V285,2
V286,2
V287,2
V288,2
V289,2
V36,2
V40,2
V41,2
V46,2
V66,2
V72,2
V73,2
V74,2
V8,2
V94,2
V95,2
V96,2
V97,2
V98,2
V99,2